trial_key,model,scenario,condition,skill_level,skill_method,mutation_type,temperature,run_id,skill_tokens,passed,n_pass,n_total,pass_rate,error_type,code_lines,code_length,import_count,function_count,try_except_count,has_argparse,input_tokens,output_tokens
S002_spike_behavior__haiku__L0_none__t0.0__r0,haiku,S002_spike_behavior,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,450,14549,9,1,2,True,318,4213
S002_spike_behavior__haiku__L1_skill_md__direct__t0.0__r0,haiku,S002_spike_behavior,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,412,False,11,12,0.9167,logic_error,483,15588,8,12,3,True,817,5036
S002_spike_behavior__haiku__L2_plus_scripts__direct__t0.0__r0,haiku,S002_spike_behavior,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,1173,True,12,12,1.0,success,473,16934,8,1,4,True,2969,5432
S002_spike_behavior__haiku__L3_no_assets__direct__t0.0__r0,haiku,S002_spike_behavior,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1613,True,12,12,1.0,success,442,14880,7,6,4,True,4069,5171
S002_spike_behavior__haiku__L4_full__direct__t0.0__r0,haiku,S002_spike_behavior,L4_full__direct,L4_full,direct,none,0.0,0,1613,True,12,12,1.0,success,412,13512,7,6,3,True,4069,4721
S002_spike_behavior__sonnet__L0_none__t0.0__r0,sonnet,S002_spike_behavior,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,270,9721,8,7,2,True,318,3306
S002_spike_behavior__sonnet__L1_skill_md__direct__t0.0__r0,sonnet,S002_spike_behavior,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,412,True,12,12,1.0,success,287,9901,7,7,3,True,817,3157
S002_spike_behavior__sonnet__L2_plus_scripts__direct__t0.0__r0,sonnet,S002_spike_behavior,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,1173,False,0,0,0,format_error,0,0,0,0,0,False,2969,380
S002_spike_behavior__sonnet__L3_no_assets__direct__t0.0__r0,sonnet,S002_spike_behavior,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1613,True,12,12,1.0,success,251,9814,6,6,3,True,4069,3296
S002_spike_behavior__sonnet__L4_full__direct__t0.0__r0,sonnet,S002_spike_behavior,L4_full__direct,L4_full,direct,none,0.0,0,1613,True,12,12,1.0,success,248,9487,6,6,4,True,4069,3139
S002_spike_behavior__opus__L0_none__t0.0__r0,opus,S002_spike_behavior,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,246,9093,7,6,2,True,318,3124
S002_spike_behavior__opus__L1_skill_md__direct__t0.0__r0,opus,S002_spike_behavior,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,412,True,12,12,1.0,success,266,9469,8,6,3,True,817,2895
S002_spike_behavior__opus__L2_plus_scripts__direct__t0.0__r0,opus,S002_spike_behavior,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,1173,True,12,12,1.0,success,335,13100,7,6,2,True,2969,4314
S002_spike_behavior__opus__L3_no_assets__direct__t0.0__r0,opus,S002_spike_behavior,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1613,True,12,12,1.0,success,250,9669,6,6,2,True,4069,3333
S002_spike_behavior__opus__L4_full__direct__t0.0__r0,opus,S002_spike_behavior,L4_full__direct,L4_full,direct,none,0.0,0,1613,True,12,12,1.0,success,261,10239,6,6,2,True,4069,3474
S002_spike_behavior__gpt4o__L0_none__t0.0__r0,gpt4o,S002_spike_behavior,L0_none,L0_none,none,none,0.0,0,0,False,11,12,0.9167,logic_error,84,3566,5,6,0,True,273,1151
S002_spike_behavior__gpt4o__L1_skill_md__direct__t0.0__r0,gpt4o,S002_spike_behavior,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,412,False,11,12,0.9167,logic_error,66,2862,5,1,0,True,728,1014
S002_spike_behavior__gpt4o__L2_plus_scripts__direct__t0.0__r0,gpt4o,S002_spike_behavior,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,1173,True,12,12,1.0,success,182,6907,6,6,1,True,2399,1676
S002_spike_behavior__gpt4o__L3_no_assets__direct__t0.0__r0,gpt4o,S002_spike_behavior,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1613,True,12,12,1.0,success,182,6907,6,6,1,True,3286,1676
S002_spike_behavior__gpt4o__L4_full__direct__t0.0__r0,gpt4o,S002_spike_behavior,L4_full__direct,L4_full,direct,none,0.0,0,1613,True,12,12,1.0,success,182,6907,6,6,1,True,3286,1676
S002_spike_behavior__gpt41__L0_none__t0.0__r0,gpt41,S002_spike_behavior,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,91,3847,5,1,0,True,273,1270
S002_spike_behavior__gpt41__L1_skill_md__direct__t0.0__r0,gpt41,S002_spike_behavior,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,412,True,12,12,1.0,success,147,6010,7,5,3,True,728,1529
S002_spike_behavior__gpt41__L2_plus_scripts__direct__t0.0__r0,gpt41,S002_spike_behavior,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,1173,True,12,12,1.0,success,131,6003,6,6,1,True,2399,1533
S002_spike_behavior__gpt41__L3_no_assets__direct__t0.0__r0,gpt41,S002_spike_behavior,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1613,True,12,12,1.0,success,142,6014,6,6,1,True,3286,1521
S002_spike_behavior__gpt41__L4_full__direct__t0.0__r0,gpt41,S002_spike_behavior,L4_full__direct,L4_full,direct,none,0.0,0,1613,True,12,12,1.0,success,130,5961,6,6,1,True,3286,1522
S002_spike_behavior__gemini_pro__L0_none__t0.0__r0,gemini_pro,S002_spike_behavior,L0_none,L0_none,none,none,0.0,0,0,False,11,12,0.9167,logic_error,214,8118,6,2,2,True,296,6294
S002_spike_behavior__gemini_pro__L1_skill_md__direct__t0.0__r0,gemini_pro,S002_spike_behavior,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,412,True,12,12,1.0,success,193,7194,7,3,1,True,760,5073
S002_spike_behavior__gemini_pro__L2_plus_scripts__direct__t0.0__r0,gemini_pro,S002_spike_behavior,L2_plus_scripts__direct,L2_plus_scripts,direct,none,0.0,0,1173,True,12,12,1.0,success,256,9864,6,6,2,True,2859,4026
S002_spike_behavior__gemini_pro__L3_no_assets__direct__t0.0__r0,gemini_pro,S002_spike_behavior,L3_no_assets__direct,L3_no_assets,direct,none,0.0,0,1613,True,12,12,1.0,success,250,9862,6,6,2,True,3935,4783
S002_spike_behavior__gemini_pro__L4_full__direct__t0.0__r0,gemini_pro,S002_spike_behavior,L4_full__direct,L4_full,direct,none,0.0,0,1613,True,12,12,1.0,success,160,6045,6,5,1,True,3934,2433
S005_protein_parse__haiku__L0_none__t0.0__r0,haiku,S005_protein_parse,L0_none,L0_none,none,none,0.0,0,0,True,12,12,1.0,success,323,11540,8,1,9,True,171,3535
S005_protein_parse__haiku__L1_skill_md__direct__t0.0__r0,haiku,S005_protein_parse,L1_skill_md__direct,L1_skill_md,direct,none,0.0,0,387,True,12,12,1.0,success,382,10641,6,14,8,True,638,3475
