scenario_id,name,domain,difficulty,source,required_packages,task_description,n_tests
S001_neuro_metadata,neuro_metadata,neuroscience,easy,real,"h5py, numpy, scipy","Write a standalone Python CLI script that recursively scans a directory containing HDF5 (.h5) and MATLAB (.mat) files from a neuroscience experiment, extracts internal structure metadata (dataset path...",0
S002_spike_behavior,spike_behavior,neuroscience,hard,real,"h5py, numpy, scipy","Write a Python CLI script that standardizes neural spike and behavior data into a unified trial-based HDF5 file.

Input: A MATLAB .mat file containing:
- spike_times: a (1, N_units) cell array where e...",0
S003_spatial_tx,spatial_tx,life_science,medium,real,"numpy, pandas","Write a Python CLI script for preprocessing spatial transcriptomics count data.

Input: A CSV file where rows are spots (spatial locations) and columns are genes. The first column is spot_id, and ther...",0
S004_satellite,satellite,earth_science,medium,real,"numpy, pandas, scipy","Write a Python CLI script to preprocess satellite brightness temperature data stored in NetCDF format.

Input: A NetCDF file with variables:
- brightness_temp: (n_scanlines, n_pixels) float32 array
- ...",0
S005_protein_parse,protein_parse,life_science,medium,real,pandas,"Write a Python CLI script to parse SwissProt protein entries from a JSON file and extract structured information.

Input: A JSON file containing a list of protein entries, each with fields like:
- acc...",0
S006_gene_expression,gene_expression,life_science,hard,real,"numpy, pandas","Write a Python CLI script to process gene expression data with associated sequence information.

Input files:
- expression.csv: rows=samples, columns=genes, values=expression levels (TPM)
- sequences....",0
S007_data_viz,data_viz,neuroscience,easy,real,"numpy, pandas","Write a Python CLI script to visualize neural population activity data.

Input: A CSV file with columns: trial, time, and multiple neuron columns (neuron_0, neuron_1, ...) containing firing rates.

Re...",0
S008_materials_qa,materials_qa,materials_science,medium,real,,"Write a Python CLI script to validate and clean a materials science training dataset stored as JSONL (one JSON per line).

Each line has fields: instruction, input, output, source, category.

Requirem...",0
S009_earth_obs,earth_obs,earth_science,easy,real,"numpy, pandas","Write a Python CLI script to merge and align multiple Earth observation station CSV files into a single dataset.

Input: A directory containing CSV files, each from a different weather station. Each C...",0
S010_multimodal,multimodal,life_science,hard,real,"PIL, numpy, pandas","Write a Python CLI script to preprocess a multimodal biology dataset for model training.

Input directory structure:
- images/: contains .jpg files
- texts/: contains .txt files (one per sample, match...",0
S011_particle_physics,particle_physics,physics,medium,synthetic,"numpy, pandas","Write a Python CLI script to analyze particle collision event data from a high-energy physics experiment.

Input: A CSV file where each row is a collision event with columns:
- event_id, n_tracks, tot...",0
S012_uv_spectroscopy,uv_spectroscopy,chemistry,medium,synthetic,"numpy, pandas","Write a Python CLI script to detect and analyze peaks in UV-Vis absorption spectroscopy data.

Input: A CSV file with columns: wavelength (nm), absorbance. May contain multiple samples as additional c...",0
S013_biodiversity,biodiversity,ecology,easy,synthetic,"numpy, pandas","Write a Python CLI script to calculate biodiversity indices from a species abundance matrix.

Input: A CSV file where rows are sampling sites and columns are species. Values are individual counts.

Re...",0
S014_clinical_lab,clinical_lab,medical,easy,synthetic,"numpy, pandas","Write a Python CLI script to normalize and flag clinical laboratory test results.

Input: A CSV with columns: patient_id, test_name, value, unit, reference_low, reference_high, timestamp.

Requirement...",0
S015_light_curves,light_curves,astronomy,hard,synthetic,"numpy, pandas","Write a Python CLI script to analyze astronomical light curves and detect periodic variability.

Input: A CSV file with columns: time (days), magnitude, magnitude_error, filter_band.

Requirements:
1....",0
S016_fastq_qc,fastq_qc,genomics,medium,synthetic,numpy,"Write a Python CLI script to compute quality statistics and perform quality trimming on FASTQ sequencing data.

Input: A FASTQ file (text format with 4 lines per read: @header, sequence, +, quality).
...",0
S017_ctd_ocean,ctd_ocean,oceanography,medium,synthetic,"numpy, pandas","Write a Python CLI script to process CTD (Conductivity-Temperature-Depth) oceanographic profile data.

Input: A CSV file with columns: station_id, depth_m, temperature_C, salinity_PSU, dissolved_oxyge...",0
S018_radiosonde,radiosonde,atmospheric_science,medium,synthetic,"numpy, pandas","Write a Python CLI script to analyze radiosonde atmospheric sounding profile data.

Input: A CSV file with columns: pressure (hPa), temperature (°C), dewpoint (°C), wind_speed (m/s), wind_direction (d...",0
S019_eeg_filtering,eeg_filtering,signal_processing,medium,synthetic,"numpy, pandas, scipy","Write a Python CLI script to filter and analyze multi-channel EEG (electroencephalogram) signals.

Input: A CSV file with columns: time (seconds), ch1, ch2, ..., ch8 (8 EEG channels in microvolts).
Th...",0
S020_survey_analysis,survey_analysis,social_science,easy,synthetic,"numpy, pandas","Write a Python CLI script to recode and analyze Likert-scale survey responses.

Input: A CSV file with columns: respondent_id, age, gender (M/F/Other), q1 through q10 (integer values 1-5 representing ...",0
S021_air_quality,air_quality,environmental_science,easy,synthetic,"numpy, pandas","Write a Python CLI script to compute Air Quality Index (AQI) from hourly pollutant measurements.

Input: A CSV file with columns: timestamp (YYYY-MM-DD HH:MM:SS), pm25 (µg/m³), pm10 (µg/m³), o3 (ppb),...",0
S022_well_log,well_log,geology,medium,synthetic,"numpy, pandas","Write a Python CLI script to resample borehole well log data and classify lithology from crossplot rules.

Input: A CSV file with columns: depth, gamma_ray, resistivity, neutron_porosity, bulk_density...",0
S023_epidemic_curve,epidemic_curve,epidemiology,medium,synthetic,"numpy, pandas","Write a Python CLI script to analyze disease outbreak case report data and produce epidemic curve statistics.

Input: A CSV file with columns: case_id, onset_date (YYYY-MM-DD), age, gender (M/F), loca...",0
S024_xrd_peaks,xrd_peaks,materials_science,hard,synthetic,"numpy, pandas","Write a Python CLI script to analyze X-ray diffraction (XRD) patterns: subtract background, detect peaks, fit Gaussians, and compute d-spacings.

Input: A CSV file with columns: two_theta (degrees), i...",0
S025_citation_graph,citation_graph,network_science,medium,synthetic,"numpy, pandas","Write a Python CLI script to analyze a citation network graph and compute node-level and network-level metrics.

Input: Two CSV files:
- Edges CSV (--edges): columns source_id, target_id, year (a cita...",0
S026_earthquake_catalog,earthquake_catalog,seismology,medium,synthetic,"numpy, pandas","Write a Python CLI script to analyze an earthquake catalog and identify aftershock sequences.

Input: A CSV file with columns:
- event_id, datetime, latitude, longitude, depth_km, magnitude, mag_type
...",0
S027_crop_features,crop_features,agricultural_science,easy,synthetic,"numpy, pandas","Write a Python CLI script to compute crop yield prediction features from field observation data.

Input: A CSV file with columns:
- field_id, date (YYYY-MM-DD), ndvi, soil_moisture, temperature, rainf...",0
S028_audio_features,audio_features,psychoacoustics,medium,synthetic,"numpy, pandas","Write a Python CLI script to extract audio features from synthetic audio signals stored as numpy arrays.

Input: A .npz file containing:
- signals: 2D array (n_signals x n_samples), each row is an aud...",0
S029_flood_frequency,flood_frequency,hydrology,medium,synthetic,"numpy, pandas","Write a Python CLI script to analyze daily streamflow records and perform flood frequency analysis.

Input: A CSV file with columns:
- date (YYYY-MM-DD), discharge_cms (cubic meters per second), stati...",0
S030_fossil_morpho,fossil_morpho,paleontology,easy,synthetic,"numpy, pandas","Write a Python CLI script to perform morphometric analysis on fossil specimen measurements.

Input: A CSV file with columns:
- specimen_id, taxon, length_mm, width_mm, height_mm, mass_g, formation, ep...",0
